"pt"	"lb"	"mappings"
Walnut	Juglans regia	Juglans regia | Walnut
Water hyssop	Bacopa monnieri	Bacopa | Bacopa monnieri | Moneywort | Water hyssop
Watermelon	Citrullus lanatus	Citrullus lanatus | Watermelon
Wax-dolls	Fumaria officinalis	Common fumitory | Fumaria officinalis | Fumitory | Wax-dolls
Wax-myrtle	Morella cerifera	Bayberry | Candleberry | Morella cerifera | Southern bayberry | Southern wax-myrtle | Waxberry | Wax-myrtle
West Indian yellowwood	Zanthoxylum clava	Hercules'-club | Pepperbark | Southern prickly-ash | West Indian yellowwood | Zanthoxylum clava
Wheat grass	Triticum aestivum	Bread wheat | Triticum aestivum | Wheat | Wheat grass | Xiao mai
White Atractylodes	Atractylodes macrocephala	Atractylodes macrocephala | Bai zhu | Bai zhu atractylodes | Largehead Atractylodes | White Atractylodes
White lily	Lilium candidum	Lilium candidum | Madonna lily | White lily
White oak	Quercus alba	Quercus alba | Stave oak | White oak
White pepper	Piper nigrum	Black pepper | Pepper- black | Pepper- white | Piper nigrum | White pepper
White sassafras	Sassafras albidum	Common sassafras | Sassafras | Sassafras albidum | White sassafras
Wild geranium	Geranium maculatum	Cranesbill | Geranium maculatum | Spotted geranium | Wild geranium
Wild radish	Raphanus raphanistrum	Jointed charlock | Raphanus raphanistrum | Wild radish
Wild yam	Dioscorea villosa	Chinaroot | Dioscorea villosa | Wild yam
Winter savory	Satureja montana	Satureja montana | Savory | Winter savory
Witch-hazel	Hamamelis virginiana	Hamamelis | Hamamelis virginiana | Spotted alder | Winter bloom | Witchazel | Witch-hazel
Wood betony	Stachys officinalis	Bishop's-wort | Purple betony | Stachys officinalis | Wood betony
Woodland hawthorn	Crataegus laevigata	Crataegus laevigata | English hawthorn | Hawthorn | Maytree | Two-style hawthorn | Whitethorn | Woodland hawthorn
Wood spider	Harpagophytum procumbens	Devil's-claw | Grapple plant | Harpagophytum procumbens | Wood spider
Wormwood	Artemisia absinthium	Absinthe | Absinthe wormwood | Absinthium | Artemisia absinthium | Wormwood
Wu hua guo	Ficus carica	Ficus carica | Fig | Fig tree | Wu hua guo
Wu wei zi	Schisandra chinensis	Chinese Magnoliavine | Schisandra | Schisandra chinensis | Wu wei zi
Xiakucao	Prunella vulgaris	Common selfheal | Heal-all | Prunella | Prunella vulgaris | Self-heal | Woundwort | Xiakucao
