"name"	"common_name"
BUCCO BETULINA WHOLE	""
PARAPETALIFERA BETULINA WHOLE	""
HARTOGIA BETULINA WHOLE	""
AGELAEA DEMEUSEI WHOLE	""
AGELAEA SETULOSA WHOLE	""
AGELAEA PENTAGYNA (LAM.) BAILL.	""
AGELAEA AUSTRALIS WHOLE	""
SPONDIOIDES VILLOSA WHOLE	""
AGELAEA PHASEOLIFOLIA WHOLE	""
AGELAEA GRACILIS WHOLE	""
AGELAEA PUNCTULATA WHOLE	""
CONNARUS PUNCTULATUS WHOLE	""
AGELAEA PILOSA WHOLE	""
AGELAEA NITIDA WHOLE	""
AGELAEA LONGIFOLIATA WHOLE	""
AGELAEA LEOPOLDVILLEANA WHOLE	""
AGELAEA OLIGANTHA WHOLE	""
AGELAEA SUBLANATA WHOLE	""
AGELAEA VILLOSA WHOLE	""
AGELAEA HIRSUTA WHOLE	""
AGELAEA NEGLECTA WHOLE	""
AGELAEA USAMBARENSIS WHOLE	""
AGELAEA DEWEVREI WHOLE	""
OMPHALOBIUM NERVOSUM WHOLE	""
AGELAEA KATANGENSIS WHOLE	""
AGELAEA TRICUSPIDATA WHOLE	""
AGELAEA LUCIDA WHOLE	""
AGELAEA COCCINEA WHOLE	""
AGELAEA LONGICALYCULATA WHOLE	""
AGELAEA RETICULATA WHOLE	""
OMPHALOBIUM VILLOSUM WHOLE	""
CNESTIS TRIFOLIA WHOLE	""
AGELAEA DUCHESNEI WHOLE	""
AGELAEA LESCRAUWAETII WHOLE	""
AGELAEA GRISEA WHOLE	""
OMPHALOBIUM PENTAGONUM WHOLE	""
AGELAEA CORDATA WHOLE	""
AGELAEA OBOVATA WHOLE	""
CNESTIS OBLIQUA WHOLE	""
AGELAEA ELEGANS WHOLE	""
AGELAEA PHAEOCARPA WHOLE	""
AGELAEA UGANDENSIS WHOLE	""
