"concept_id","np_name"
-7992419,CASTANEA SATIVA VAR. PENDULIFOLIA WHOLE
-7991566,BETA SULCATA WHOLE
-7991497,ASGANDH
-7991440,TEA
-7999316,MACROTRYS ACTAEOIDES WHOLE
-7991365,SALVIA PAMIRICA WHOLE
-7991534,PHYTOLACCA DECANDRA WHOLE
-7995877,CAPSELLA RAMSELENSIS WHOLE
-7994752,CORNUS OFFICINALIS WHOLE
-7996502,PERSIAN LILAC WHOLE
-7990632,MEDICAGO MICRODON WHOLE
-7994995,ULMUS VAN-HOUTTEI WHOLE
-7991713,HIMALAYA-RHABARBER
-7991243,MEADOWSWEET WHOLE
-7993214,ROSA CONDENSATA WHOLE
-7996246,RUBIA VERA WHOLE
-7997188,ROSMARINUS SEROTINUS WHOLE
-7996204,SPHYRNA LEWINI WHOLE
-7996562,GREAT NETTLE WHOLE
-7992723,AURANTIUM X ORIENTALE WHOLE
-7996946,WHITE THORN WHOLE
-7994659,ULMUS RUBRA MUHL.
-7998316,WAXMYRTLE WHOLE
-7993179,ROSA PODOLICA WHOLE
-7994000,LONGLEAF PINE
-7999344,PSEUDOTSUGA GLOBULOSA WHOLE
-7992303,MALVA PLEBEIA WHOLE
-7997036,TARAXACUM VULGARE WHOLE
-7995195,TUSSILAGO UMBERTINA WHOLE
-7993570,TURKISH LICORICE WHOLE
-7995616,MAGNOLIA MAXIMA WHOLE
-7990783,ANGELICA GRAVEOLENS WHOLE
-7995849,CAPSELLA SUBCAVATA WHOLE
-7996289,JUNIPERUS VIRGINIANA WHOLE
-7994675,PINUS NIGRA J.F.ARNOLD
-7994320,OLD-MAN'S-BEARD
-7996160,ESCHSCHOLZIA BIOLETTII WHOLE
-7995108,ACER MONO WHOLE
-7991948,MAD-DOG SCULLCAP
